Time	Left Crest X	Left Crest Y	Left Crest Z	Left Hip X	Left Hip Y	Left Hip Z	Left Knee X	Left Knee Y	Left Knee Z	Left Ankle X	Left Ankle Y	Left Ankle Z	Left Foot X	Left Foot Y	Left Foot Z	Right Crest X	Right Crest Y	Right Crest Z	Right Hip X	Right Hip Y	Right Hip Z	Right Knee X	Right Knee Y	Right Knee Z	Right Ankle X	Right Ankle Y	Right Ankle Z	Right Foot X	Right Foot Y	Right Foot Z	R1 X	R1 Y	R1 Z	R2 X	R2 Y	R2 Z	R3 X	R3 Y	R3 Z	R4 X	R4 Y	R4 Z	R5 X	R5 Y	R5 Z	R6 X	R6 Y	R6 Z	L1 X	L1 Y	L1 Z	L2 X	L2 Y	L2 Z	L3 X	L3 Y	L3 Z	L4 X	L4 Y	L4 Z	L5 X	L5 Y	L5 Z	L6 X	L6 Y	L6 Z
0.440000	0.17233512	0.37428907	0.33675107	0.16923501	0.29996145	0.27845746	0.16255647	0.33977079	0.14162947	0.19637121	0.19310439	0.14083029	0.20160528	0.14225213	0.09231717	0.27534917	0.38929293	0.34635678	0.30030388	0.32089692	0.27671060	0.25863901	0.43888387	0.19415088	0.24938345	0.36089867	0.06942332	0.26525715	0.40916342	0.03201317																																				
0.450000	0.17183633	0.38531873	0.33611244	0.16888444	0.31141287	0.27785477	0.15937586	0.35841143	0.14180192	0.18963911	0.21136683	0.14562643	0.19397405	0.16347055	0.09425580	0.27528605	0.39970446	0.34477729	0.30015555	0.33132529	0.27545562	0.25723985	0.44785890	0.19101401	0.24765265	0.36128524	0.07060746	0.26505032	0.40905777	0.03195599																																				
0.460000	0.17121781	0.39865029	0.33571970	0.16863482	0.32529828	0.27784160	0.15637559	0.38053721	0.14354779	0.18227695	0.23362038	0.15061136	0.18476042	0.19041868	0.09510525	0.27482647	0.41258305	0.34357551	0.29963478	0.34352571	0.27510038	0.25600311	0.45744541	0.18714735	0.24549906	0.36146802	0.07187610	0.26502976	0.40906093	0.03198746																																				
0.470000	0.17035098	0.41226396	0.33549029	0.16755535	0.33912912	0.27854747	0.15346545	0.40276659	0.14660724	0.17544252	0.25622430	0.15486991	0.17514113	0.21940328	0.09542954	0.27371433	0.42581430	0.34304577	0.29927382	0.35619286	0.27570558	0.25514105	0.46671095	0.18328531	0.24350645	0.36187422	0.07321601	0.26494783	0.40887946	0.03198474																																				
0.480000	0.16914052	0.42629716	0.33555183	0.16658691	0.35341975	0.27951124	0.15116812	0.42481178	0.15074977	0.16880611	0.27897179	0.15825410	0.16444352	0.25019851	0.09627356	0.27034402	0.43837553	0.34335569	0.29821193	0.36857766	0.27686319	0.25444987	0.47567111	0.17962471	0.24147116	0.36234811	0.07474550	0.26499578	0.40880269	0.03201970																																				
0.490000	0.16779561	0.43863350	0.33591810	0.16515602	0.36563101	0.28090969	0.14980264	0.44358054	0.15513805	0.16363050	0.29812878	0.16003928	0.15590872	0.27691972	0.09713909	0.26659590	0.44917670	0.34397385	0.29706138	0.37941602	0.27824771	0.25382781	0.48309338	0.17683458	0.23942210	0.36313522	0.07633491	0.26503024	0.40869108	0.03206577																																				
0.500000	0.16740032	0.45225036	0.33601308	0.16370031	0.37802330	0.28263950	0.14834274	0.46206680	0.16041613	0.16001554	0.31774098	0.15948027	0.14866300	0.30265391	0.09726091	0.26283747	0.46015057	0.34454697	0.29551494	0.39025980	0.27971083	0.25307173	0.49019715	0.17430857	0.23719627	0.36437765	0.07804056	0.26481950	0.40851489	0.03211543																																				
0.510000	0.16717024	0.46614185	0.33624461	0.16134946	0.39020336	0.28488436	0.14678612	0.48053592	0.16626032	0.15715556	0.33724415	0.15752478	0.14311907	0.32774654	0.09633849	0.26086965	0.47259587	0.34497038	0.29317409	0.40159816	0.28146467	0.25244778	0.49730545	0.17204562	0.23505859	0.36640358	0.07980986	0.26453394	0.40830705	0.03222452																																				
0.520000	0.16703528	0.48008683	0.33668318	0.15885933	0.40254605	0.28724241	0.14523125	0.49883446	0.17265847	0.15457956	0.35707393	0.15435074	0.13801803	0.35335085	0.09449120	0.25901330	0.48496363	0.34543234	0.29058364	0.41279572	0.28320983	0.25174859	0.50413007	0.17000628	0.23267128	0.36873627	0.08161204	0.26403132	0.40802032	0.03239534																																				
0.530000	0.16608340	0.49305508	0.33768004	0.15632142	0.41501629	0.28967544	0.14413577	0.51701814	0.17924379	0.15144342	0.37673232	0.15114935	0.13380505	0.37949371	0.09219747	0.25730574	0.49715900	0.34590259	0.28794545	0.42383581	0.28491867	0.25123978	0.51084822	0.16816327	0.23025300	0.37159956	0.08327510	0.26361111	0.40781489	0.03270636																																				
0.540000	0.16521005	0.50573111	0.33879355	0.15389688	0.42741996	0.29213515	0.14310865	0.53486723	0.18611628	0.14859024	0.39712098	0.14705919	0.13139151	0.40590188	0.08929845	0.25571567	0.50901514	0.34635785	0.28632513	0.43469849	0.28632978	0.25060931	0.51722294	0.16638802	0.22747803	0.37459800	0.08476748	0.26289916	0.40743250	0.03312758																																				
0.550000	0.16449285	0.52005106	0.34008792	0.15142877	0.44159946	0.29492375	0.14217396	0.55468220	0.19413820	0.14643881	0.42188650	0.14088979	0.13032532	0.43745425	0.08495326	0.25443757	0.52259415	0.34695572	0.28495073	0.44763193	0.28777361	0.24980974	0.52433306	0.16438060	0.22457898	0.37877753	0.08629401	0.26191872	0.40712729	0.03388141																																				
0.560000	0.16398855	0.53395385	0.34148201	0.14921883	0.45544216	0.29750341	0.14136972	0.57359380	0.20184067	0.14564502	0.44684938	0.13382150	0.13074674	0.46980473	0.08010034	0.25294545	0.53563833	0.34746179	0.28334337	0.46031877	0.28881294	0.24866115	0.53087765	0.16232851	0.22297919	0.38390779	0.08843206	0.26088500	0.40681070	0.03470229																																				
0.570000	0.16348879	0.54761767	0.34300718	0.14740889	0.46910441	0.29975539	0.14046115	0.59159327	0.20913897	0.14558527	0.47275081	0.12635802	0.13170336	0.50237900	0.07524280	0.25155887	0.54845554	0.34803331	0.28181314	0.47299123	0.28968227	0.24751686	0.53721637	0.16032466	0.22421081	0.39119190	0.09177621	0.26035407	0.40700838	0.03568246																																				
0.580000	0.16314384	0.55910701	0.34427807	0.14657085	0.48118964	0.30091634	0.13945270	0.60618269	0.21475559	0.14682561	0.49547693	0.11962716	0.13372447	0.53045595	0.07142776	0.25369880	0.56184262	0.34818128	0.28055069	0.48389152	0.29025334	0.24646230	0.54240847	0.15874431	0.22606990	0.39752272	0.09464590	0.26021457	0.40740797	0.03645900																																				
0.590000	0.16265814	0.57053500	0.34559396	0.14597462	0.49329007	0.30177817	0.13825338	0.62020743	0.21987554	0.14826137	0.51975119	0.11338281	0.13597825	0.55807942	0.06799553	0.25600496	0.57519859	0.34861290	0.27993822	0.49533868	0.29093486	0.24568893	0.54781753	0.15749410	0.22669977	0.40252528	0.09652182	0.26000920	0.40792173	0.03723185																																				
0.600000	0.16213982	0.58183312	0.34691811	0.14556447	0.50542885	0.30242714	0.13706547	0.63356876	0.22410220	0.15068960	0.54426014	0.10775711	0.13868147	0.58533400	0.06467936	0.25819120	0.58848268	0.34920439	0.27940914	0.50684619	0.29168472	0.24516734	0.55318093	0.15661611	0.22514455	0.40556896	0.09699383	0.25970677	0.40834451	0.03788873																																				
0.610000	0.16153631	0.59304893	0.34826186	0.14493877	0.51700532	0.30323100	0.13606720	0.64624244	0.22740054	0.15355554	0.56902134	0.10293937	0.14151390	0.61174470	0.06165623	0.25696421	0.59935462	0.35034207	0.27886516	0.51832741	0.29249728	0.24521430	0.55862868	0.15609862	0.22422929	0.40915471	0.09754615	0.25933176	0.40863723	0.03849532																																				
0.620000	0.16124874	0.60474491	0.34929177	0.14424841	0.52860850	0.30391502	0.13536762	0.65832925	0.22959980	0.15661085	0.59284192	0.09892762	0.14418873	0.63725197	0.05916740	0.25573421	0.61024356	0.35153988	0.27816591	0.52961218	0.29338127	0.24587351	0.56403512	0.15594085	0.22404809	0.41332039	0.09817968	0.25890070	0.40883213	0.03901659																																				
0.630000	0.16089410	0.61643380	0.35020661	0.14345124	0.54022944	0.30441782	0.13479751	0.66994572	0.23103492	0.16048568	0.61589587	0.09469088	0.14642984	0.66127533	0.05707454	0.25450122	0.62112594	0.35280907	0.27734753	0.54085815	0.29426458	0.24694149	0.56941193	0.15607239	0.22413415	0.41754767	0.09874862	0.25847176	0.40918303	0.03956056																																				
